seg,chain,kind,dir,bias,cmd_duty_q15,tick,window_valid,pos,duty_q15,current_raw,vmotor_a,vmotor_b,vbus_raw
0,0,rest,0,0,0,994,0,2245,0,110,779,783,2202
0,0,rest,0,0,0,995,0,2243,0,110,779,782,2197
0,0,rest,0,0,0,996,0,2241,0,108,778,782,2196
0,0,rest,0,0,0,997,0,2240,0,109,778,782,2195
0,0,rest,0,0,0,998,0,2240,0,109,777,782,2197
0,0,rest,0,0,0,999,0,2242,0,108,778,782,2199
1,0,probe,1,0,3276,0,0,2244,0,110,779,782,2191
1,0,probe,1,0,3276,1,0,2244,3276,113,2294,541,2190
1,0,probe,1,0,3276,2,0,2243,3276,128,2310,541,2183
1,0,probe,1,0,3276,3,0,2243,3276,137,2301,542,2176
1,0,probe,1,0,3276,4,0,2243,3276,141,2298,543,2172
1,0,probe,1,0,3276,5,0,2243,3276,147,2296,543,2171
1,0,probe,1,0,3276,6,0,2243,3276,148,2294,544,2168
1,0,probe,1,0,3276,7,0,2243,3276,149,2293,544,2166
1,0,probe,1,0,3276,8,0,2243,3276,150,2291,543,2165
1,0,probe,1,0,3276,9,0,2243,3276,152,2291,544,2165
1,0,probe,1,0,3276,10,0,2243,3276,155,2290,544,2163
1,0,probe,1,0,3276,11,0,2242,3276,154,2289,543,2162
1,0,probe,1,0,3276,12,0,2241,3276,155,2286,542,2161
1,0,probe,1,0,3276,13,0,2241,3276,154,2286,543,2162
1,0,probe,1,0,3276,14,0,2242,3276,154,2288,545,2162
1,0,probe,1,0,3276,15,0,2243,3276,151,2290,543,2164
1,0,probe,1,0,3276,16,0,2244,3276,152,2291,543,2166
1,0,probe,1,0,3276,17,0,2247,3276,153,2293,546,2167
1,0,probe,1,0,3276,18,0,2244,3276,152,2291,544,2164
1,0,probe,1,0,3276,19,0,2245,3276,153,2289,543,2163
2,0,probe,1,0,6553,0,0,2243,3276,148,2292,543,2165
2,0,probe,1,0,6553,1,1,2243,6553,147,2293,546,2155
2,0,probe,1,0,6553,2,1,2244,6553,170,2279,547,2136
2,0,probe,1,0,6553,3,1,2246,6553,181,2270,549,2124
2,0,probe,1,0,6553,4,1,2245,6553,188,2261,550,2115
2,0,probe,1,0,6553,5,1,2243,6553,193,2254,549,2107
2,0,probe,1,0,6553,6,1,2241,6553,195,2249,550,2102
2,0,probe,1,0,6553,7,1,2240,6553,199,2246,549,2098
2,0,probe,1,0,6553,8,1,2240,6553,199,2246,549,2097
2,0,probe,1,0,6553,9,1,2242,6553,200,2246,550,2097
2,0,probe,1,0,6553,10,1,2241,6553,200,2246,551,2098
2,0,probe,1,0,6553,11,1,2243,6553,202,2245,551,2095
2,0,probe,1,0,6553,12,1,2243,6553,207,2246,552,2095
2,0,probe,1,0,6553,13,1,2244,6553,205,2246,551,2093
2,0,probe,1,0,6553,14,1,2242,6553,206,2243,552,2091
2,0,probe,1,0,6553,15,1,2241,6553,204,2241,551,2090
2,0,probe,1,0,6553,16,1,2242,6553,209,2242,551,2091
2,0,probe,1,0,6553,17,1,2244,6553,205,2244,552,2093
2,0,probe,1,0,6553,18,1,2244,6553,203,2243,552,2093
2,0,probe,1,0,6553,19,1,2243,6553,204,2241,551,2090
3,0,probe,1,0,3276,0,1,2242,6553,204,2243,551,2094
3,0,probe,1,0,3276,1,0,2243,3276,204,2244,552,2092
3,0,probe,1,0,3276,2,0,2242,3276,185,2258,548,2126
3,0,probe,1,0,3276,3,0,2237,3276,172,2266,545,2137
3,0,probe,1,0,3276,4,0,2237,3276,167,2274,543,2148
3,0,probe,1,0,3276,5,0,2238,3276,161,2279,543,2152
3,0,probe,1,0,3276,6,0,2240,3276,157,2283,543,2157
3,0,probe,1,0,3276,7,0,2243,3276,152,2288,544,2162
3,0,probe,1,0,3276,8,0,2243,3276,152,2290,545,2165
3,0,probe,1,0,3276,9,0,2244,3276,150,2291,544,2166
3,0,probe,1,0,3276,10,0,2244,3276,150,2292,543,2165
3,0,probe,1,0,3276,11,0,2243,3276,150,2291,543,2165
3,0,probe,1,0,3276,12,0,2242,3276,148,2290,542,2165
3,0,probe,1,0,3276,13,0,2241,3276,148,2291,542,2165
3,0,probe,1,0,3276,14,0,2243,3276,150,2292,543,2167
3,0,probe,1,0,3276,15,0,2243,3276,148,2293,542,2166
3,0,probe,1,0,3276,16,0,2244,3276,149,2292,542,2168
3,0,probe,1,0,3276,17,0,2246,3276,147,2294,543,2169
3,0,probe,1,0,3276,18,0,2244,3276,146,2292,543,2166
3,0,probe,1,0,3276,19,0,2241,3276,143,2290,541,2164
